tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
2222,49:48.4,26:51.3,279,Peck Slip & Front St,40.707873,-74.00167,398,Atlantic Ave & Furman St,40.69165183,-73.9999786,27762,Customer,1996,2
694,30:04.6,41:39.5,3712,W 35 St & Dyer Ave,40.75469175,-73.99740189,513,W 56 St & 10 Ave,40.768254,-73.988639,18704,Subscriber,1989,1
621,28:07.8,38:29.0,455,1 Ave & E 44 St,40.75001986,-73.96905301,468,Broadway & W 56 St,40.7652654,-73.98192338,26973,Subscriber,1965,1
223,22:56.8,26:40.2,3285,W 87 St & Amsterdam Ave,40.78839,-73.9747,3360,Amsterdam Ave & W 79 St,40.7829391,-73.9786517,33994,Subscriber,1984,2
254,44:41.0,48:55.1,3699,W 50 St & 9 Ave,40.76360468,-73.98917958,508,W 46 St & 11 Ave,40.76341379,-73.99667444,32584,Customer,1994,2
484,15:46.6,23:51.1,3697,W 64 St & Thelonious Monk Circle,40.77515953,-73.98918696,3167,Amsterdam Ave & W 73 St,40.77966809,-73.98093045,38231,Customer,1999,1
333,17:55.6,23:28.8,3761,Cedar St & Myrtle Ave,40.697842,-73.926241,3061,Throop Ave & Myrtle Ave,40.69622937,-73.94371094,35294,Customer,1992,1
686,19:36.8,31:03.3,3297,6 St & 7 Ave,40.6686627,-73.97988067,3429,Hanson Pl & Ashland Pl,40.68506807,-73.9779076,38163,Subscriber,1994,1
322,07:35.1,12:57.7,237,E 11 St & 2 Ave,40.73047309,-73.98672378,411,E 6 St & Avenue D,40.72228087,-73.97668709,26888,Subscriber,1977,1
421,14:01.8,21:03.2,477,W 41 St & 8 Ave,40.75640548,-73.9900262,519,Pershing Square North,40.751873,-73.977706,38513,Subscriber,1969,1
1722,41:20.6,10:03.0,3521,Lenox Ave & W 111 St,40.7987859,-73.9523,533,Broadway & W 38 St,40.75299641,-73.98721619,39410,Subscriber,1998,1
